"sid","cart","type","outcome","pre","software","interpolation","ptype","averaging","parameters","source","doi"
394,"","","","","","","","","","","10.7717/peerj.5219"
396,"","","","","","","","","","","10.1139/apnm-2017-0207"
397,"","","","","","","","","","","10.1016/j.apunts.2016.07.001"
398,"","","","","","","","","","","10.3390/cells8091045"
399,"","","","","","","","","","","10.1111/ane.12748"
404,"","","","","","","","","","","10.1111/cpf.12469"
405,"","","","","","","","","","","10.1519/JSC.0000000000003178"
419,"","","","","","","","","","","10.1007/s00421-021-04866-3"
420,"","","","","","","","","","","10.21037/mhealth.2019.09.07"
423,"","","","","","","","","","","10.1038/s41598-020-79355-2"
428,"","","","","","","","","","","10.3389/fphys.2020.571221"
431,"","","","","","","","","","","10.1038/srep42485"
432,"","","","","","","","","","","10.3389/fphys.2021.726783"
433,"","","","","","","","","","","10.1123/ijsnem.2021-0013"
436,"","","","","","","","","","","10.1152/japplphysiol.01082.2017"
437,"","","","","","","","","","","10.1113/EP088639"
441,"","","","","","","","","","","10.20463/jenb.2018.0030"
443,"","","","","","","","","","","10.2147/DMSO.S197642"
445,"","","","","","","","","","","10.1210/jc.2017-00146"
446,"","","","","","","","","","","10.1007/s00421-017-3540-1"
447,"","","","","","","","","","","10.1080/19338244.2019.1657059"
449,"","","","","","","","","","","10.3390/ijerph182010653"
452,"","","","","","","","","","","10.1371/journal.pone.0249671"
453,"","","","","","","","","","","10.1007/s00421-017-3656-3"
454,"","","","","","","","","","","10.1007/s00421-020-04535-x"
455,"","","","","","","","","","","10.15280/jlm.2020.10.1.21"
458,"","","","","","","","","","","10.1080/02701367.2019.1653431"
460,"","","","","","","","","","","10.1186/s12966-017-0513-z"
461,"","","","","","","","","","","10.1123/ijspp.2019-0031"
463,"","","","","","","","","","","10.15537/smj.2019.8.24332"
464,"","","","","","","","","","","10.1519/JSC.0000000000003199"
466,"","","","","","","","","","","10.1007/s00421-019-04218-2"
467,"","","","","","","","","","","10.3389/fphys.2020.573660"
469,"","","","","","","","","","","10.1249/MSS.0000000000002764"
470,"","","","","","","","","","","10.1111/sms.13590"
473,"","","","","","","","","","","10.1371/journal.pone.0200517"
476,"","","","","","","","","","","10.1111/sms.13333"
481,"","","","","","","","","","","10.1152/japplphysiol.00349.2020"
483,"","","","","","","","","","","10.3389/fpubh.2021.666019"
485,"","","","","","","","","","","10.1007/s00421-019-04133-6"
486,"","","","","","","","","","","10.23736/S0022-4707.21.12313-8"
489,"","","","","","","","","","","10.1002/ijc.32819"
493,"","","","","","","","","","","10.3390/sports7030063"
495,"","","","","","","","","","","10.3390/ijerph18052293"
496,"","","","","","","","","","","10.1016/j.mayocpiqo.2018.03.001"
498,"","","","","","","","","","","10.1080/02701367.2019.1571676"
499,"","","","","","","","","","","10.1186/s12986-020-00436-0"
